CI_DATE,CASH_IN_ID,RETAILER_ID,PAYMENT_METHOD,FINAL_AMOUNT
4/10/2024,6249640,185040,UPG_DIGITAL_WALLET,"1,665"
4/8/2024,6215659,607734,UPG_DIGITAL_WALLET,"2,031"
4/10/2024,6257170,14496,UPG_DIGITAL_WALLET,"2,000"
4/7/2024,6199931,32538,UPG_DIGITAL_WALLET,50
3/14/2024,5827645,287274,UPG_DIGITAL_WALLET,9
4/7/2024,6207334,192720,UPG_DIGITAL_WALLET,"5,328"
3/14/2024,5827721,579732,UPG_DIGITAL_WALLET,200
4/7/2024,6207356,298296,COLLECTION,"2,000"
4/9/2024,6238384,365352,COLLECTION,"1,000"
4/13/2024,6287979,619878,UPG_DIGITAL_WALLET,10
3/14/2024,5827964,560028,UPG_DIGITAL_WALLET,700
4/8/2024,6224915,285330,COLLECTION,"1,500"
4/7/2024,6207670,204468,UPG_DIGITAL_WALLET,"1,200"
4/12/2024,6277020,81564,UPG_DIGITAL_WALLET,"3,000"
4/8/2024,6224970,426036,COLLECTION,"2,010"
4/13/2024,6283344,544014,UPG_DIGITAL_WALLET,80
4/8/2024,6215708,428430,UPG_DIGITAL_WALLET,60
4/14/2024,6303995,293952,UPG_DIGITAL_WALLET,10
4/12/2024,6277060,206556,COLLECTION,"2,500"
4/8/2024,6225174,163242,UPG_DIGITAL_WALLET,"2,000"
4/12/2024,6277118,11484,UPG_DIGITAL_WALLET,500
4/14/2024,6304005,328446,UPG_DIGITAL_WALLET,500
4/8/2024,6225402,23142,UPG_DIGITAL_WALLET,"2,050"
4/13/2024,6283521,485148,UPG_DIGITAL_WALLET,200
4/10/2024,6249958,521004,UPG_DIGITAL_WALLET,50
4/11/2024,6264578,184572,UPG_DIGITAL_WALLET,"1,000"
1/3/2024,4765401,463920,UPG_DIGITAL_WALLET,"11,890"
3/27/2024,6016563,477828,UPG_DIGITAL_WALLET,900
4/7/2024,6213588,589554,UPG_DIGITAL_WALLET,155
3/14/2024,5827854,548946,UPG_DIGITAL_WALLET,100
4/8/2024,6225164,548610,UPG_DIGITAL_WALLET,"1,000"
4/7/2024,6207633,258894,UPG_DIGITAL_WALLET,"2,000"
4/7/2024,6207621,390906,UPG_DIGITAL_WALLET,"1,300"
4/8/2024,6225232,220008,UPG_DIGITAL_WALLET,220
4/10/2024,6257391,528078,UPG_DIGITAL_WALLET,50
4/13/2024,6292537,26004,UPG_DIGITAL_WALLET,"2,000"
3/14/2024,5828311,615300,UPG_DIGITAL_WALLET,200
3/14/2024,5828320,126504,COLLECTION,"4,000"
3/14/2024,5828418,589626,UPG_DIGITAL_WALLET,11
4/10/2024,6257568,326334,UPG_DIGITAL_WALLET,"2,000"
4/10/2024,6250079,552162,UPG_DIGITAL_WALLET,100
4/11/2024,6264362,624264,UPG_DIGITAL_WALLET,80
4/9/2024,6239223,615342,UPG_DIGITAL_WALLET,210
2/21/2024,5482530,521790,UPG_DIGITAL_WALLET,200
1/3/2024,4765820,157098,UPG_DIGITAL_WALLET,"1,000"
2/22/2024,5501183,551616,UPG_DIGITAL_WALLET,200
4/27/2024,6518619,11556,COLLECTION,"1,000"
4/27/2024,6521633,463026,UPG_DIGITAL_WALLET,500
4/26/2024,6502629,218574,UPG_DIGITAL_WALLET,"2,000"
4/26/2024,6500756,400200,UPG_DIGITAL_WALLET,"4,500"
4/16/2024,6344610,188826,UPG_DIGITAL_WALLET,700
4/24/2024,6469056,66540,COLLECTION,"1,050"
2/6/2024,5260046,114498,UPG_DIGITAL_WALLET,"1,000"
4/23/2024,6452531,84102,UPG_DIGITAL_WALLET,200
